"","Entry","Time"
"1"," ","09:10:45 AM"
"2"," ","09:10:45 AM"
"3"," ","09:10:45 AM"
"4"," ","09:10:45 AM"
"5"," ","09:10:45 AM"
"6","Apply stake to all singles","09:10:45 AM"
"7","$","09:10:45 AM"
"8","2-136 -0","09:10:45 AM"
"9","Hyderabad v Tamil Nadu","09:10:45 AM"
"10"," Markets (4)","09:10:45 AM"
"11","Hyderabad 1.70","09:10:45 AM"
"12","Hyderabad","09:10:45 AM"
"13","1.70","09:10:45 AM"
"14","Tamil Nadu 2.10","09:10:45 AM"
"15","Tamil Nadu","09:10:45 AM"
"16","2.10","09:10:45 AM"
"17"," Betting temporarily suspended - Markets are being updated","09:10:45 AM"
"18","Upcoming20:12","09:10:45 AM"
"19","K Siniakova v G Voskoboeva","09:10:45 AM"
"20"," Markets (29)","09:10:45 AM"
